2♠, 2♥, 2♣
2♠, 2♥, 2♦
2♠, 2♥, 3♠
2♠, 2♥, 3♥
2♠, 2♥, 3♣
2♠, 2♥, 3♦
2♠, 2♥, 4♠
2♠, 2♥, 4♥
2♠, 2♥, 4♣
2♠, 2♥, 4♦
2♠, 2♥, 5♠
2♠, 2♥, 5♥
2♠, 2♥, 5♣
2♠, 2♥, 5♦
2♠, 2♥, 6♠
2♠, 2♥, 6♥
2♠, 2♥, 6♣
2♠, 2♥, 6♦
2♠, 2♥, 7♠
2♠, 2♥, 7♥
2♠, 2♥, 7♣
2♠, 2♥, 7♦
2♠, 2♥, 8♠
2♠, 2♥, 8♥
2♠, 2♥, 8♣
2♠, 2♥, 8♦
2♠, 2♥, 9♠
2♠, 2♥, 9♥
2♠, 2♥, 9♣
2♠, 2♥, 9♦
2♠, 2♥, 10♠
2♠, 2♥, 10♥
2♠, 2♥, 10♣
2♠, 2♥, 10♦
2♠, 2♥, J♠
2♠, 2♥, J♥
2♠, 2♥, J♣
2♠, 2♥, J♦
2♠, 2♥, Q♠
2♠, 2♥, Q♥
2♠, 2♥, Q♣
2♠, 2♥, Q♦
2♠, 2♥, K♠
2♠, 2♥, K♥
2♠, 2♥, K♣
2♠, 2♥, K♦
2♠, 2♥, A♠
2♠, 2♥, A♥
2♠, 2♥, A♣
2♠, 2♥, A♦
2♠, 2♣, 2♦
2♠, 2♣, 3♠
2♠, 2♣, 3♥
2♠, 2♣, 3♣
2♠, 2♣, 3♦
2♠, 2♣, 4♠
2♠, 2♣, 4♥
2♠, 2♣, 4♣
2♠, 2♣, 4♦
2♠, 2♣, 5♠
2♠, 2♣, 5♥
2♠, 2♣, 5♣
2♠, 2♣, 5♦
2♠, 2♣, 6♠
2♠, 2♣, 6♥
2♠, 2♣, 6♣
2♠, 2♣, 6♦
2♠, 2♣, 7♠
2♠, 2♣, 7♥
2♠, 2♣, 7♣
2♠, 2♣, 7♦
2♠, 2♣, 8♠
2♠, 2♣, 8♥
2♠, 2♣, 8♣
2♠, 2♣, 8♦
2♠, 2♣, 9♠
2♠, 2♣, 9♥
2♠, 2♣, 9♣
2♠, 2♣, 9♦
2♠, 2♣, 10♠
2♠, 2♣, 10♥
2♠, 2♣, 10♣
2♠, 2♣, 10♦
2♠, 2♣, J♠
2♠, 2♣, J♥
2♠, 2♣, J♣
2♠, 2♣, J♦
2♠, 2♣, Q♠
2♠, 2♣, Q♥
2♠, 2♣, Q♣
2♠, 2♣, Q♦
2♠, 2♣, K♠
2♠, 2♣, K♥
2♠, 2♣, K♣
2♠, 2♣, K♦
2♠, 2♣, A♠
2♠, 2♣, A♥
2♠, 2♣, A♣
2♠, 2♣, A♦
2♠, 2♦, 3♠
2♠, 2♦, 3♥
2♠, 2♦, 3♣
2♠, 2♦, 3♦
2♠, 2♦, 4♠
2♠, 2♦, 4♥
2♠, 2♦, 4♣
2♠, 2♦, 4♦
2♠, 2♦, 5♠
2♠, 2♦, 5♥
2♠, 2♦, 5♣
